Postcode,Huisnummer,Bouwjaar,Gebouwtype,Energieklasse,warmte_predicted,warmte_final,gas_sjv_m3,gas_per_m2,priority,PC4
1689KX,6,1979,Rijwoning tussen,B,122.45055779149799,126.27,1156.9471830985915,10.506240311465596,Medium,1689
1628ZN,34,2002,Rijwoning hoek,A,86.44656771547777,67.53,,,Low,1628
1689EW,70,1940,Vrijstaande woning,F,294.32166109340767,302.95,1156.9471830985915,6.20879673230971,High,1689
1628NW,208,1988,Appartement,C,115.75089806592271,114.93,,,Medium,1628
1624PB,20,1930,Rijwoning hoek,B,168.0320001070107,160.92,,,High,1624
1625AD,61,1973,Rijwoning tussen,A,95.06788775211007,88.26,,,Low,1625
1621CV,3,1934,Rijwoning hoek,C,172.17814795985205,178.18,,,High,1621
1689HN,9,1974,Rijwoning hoek,C,144.49949699769004,143.94,1156.9471830985915,9.346047201701198,Medium,1689
1622EE,81,1978,Rijwoning tussen,B,105.99027083416442,111.38,,,Medium,1622
1621AA,157,2000,Rijwoning tussen,A,92.49874784878011,95.11,,,Low,1621
1628AN,78,1983,Rijwoning hoek,B,122.44605402123237,126.27,,,Medium,1628
1689AZ,8,2024,Vrijstaande woning,A+++,70.93968752996051,71.91,1156.9471830985915,5.7571018267246785,Low,1689
1689EM,34,1960,Twee-onder-één-kap,B,132.4903232226821,149.04,1156.9471830985915,11.335951235533916,Medium,1689
1622KC,53,1982,Rijwoning tussen,A,107.91184697850382,112.38,,,Medium,1622
1624HN,83,1968,Appartement,A,88.03162316296569,91.1,,,Low,1624
1621JH,52,1921,Appartement,D,195.81592972325717,202.92,,,High,1621
1625TB,2,1972,Rijwoning tussen,C,133.80246716419074,135.48,,,Medium,1625
1689GR,6,1984,Rijwoning tussen,C,130.28951376753173,136.16,1156.9471830985915,14.366660661847654,Medium,1689
1621AZ,1,1910,Rijwoning tussen,G,310.7196370168868,328.16,,,High,1621
1622CK,148,1975,Rijwoning tussen,A,114.02026016715473,135.8,,,Medium,1622
1689WD,19,2008,Rijwoning hoek,A,80.98587354771166,99.05,1156.9471830985915,7.763183138284852,Low,1689
1628XE,81,1998,Rijwoning tussen,A,82.47383759796395,90.97,,,Low,1628
1623LV,13,1953,Rijwoning hoek,C,153.17578864654126,155.37,,,High,1623
1622BK,27,1966,Rijwoning hoek,C,141.9073645302653,148.86,,,Medium,1622
1622HC,38,1978,Appartement,C,120.4288140330178,126.49,,,Medium,1622
1689WD,70,2008,Appartement,A,60.40043637473579,64.4,1156.9471830985915,20.26177203325029,Low,1689
1689GG,170,1975,Vrijstaande woning,C,150.32171191099224,155.41,1156.9471830985915,8.204717276069722,High,1689
1628CL,21,1986,Rijwoning tussen,B,116.2271635096096,127.67,,,Medium,1628
1624BR,140,1925,Rijwoning hoek,D,188.05425904288094,202.18,,,High,1624
1624GG,2,1962,Rijwoning hoek,C,173.79000266524616,175.18,,,High,1624
1628XA,258,1997,Rijwoning tussen,A,71.35606461588833,64.65,,,Low,1628
1628PH,19,1990,Rijwoning tussen,A,98.04906986011176,105.01,,,Medium,1628
1624AH,98,1905,Rijwoning tussen,C,153.20825722540908,157.68,,,High,1624
1689VG,19,1983,Rijwoning tussen,A,97.25958960711526,108.24,1156.9471830985915,11.695786323277309,Medium,1689
1624TL,74,1920,Rijwoning hoek,B,134.96283481614321,130.72,,,Medium,1624
1621AH,42,1880,Rijwoning tussen,B,124.8654106071229,122.42,,,Medium,1621
1628XG,4,1998,Rijwoning tussen,A,87.27010982070581,92.47,,,Low,1628
1689WG,60,2007,Rijwoning tussen,A+,63.26049279737909,57.47,1156.9471830985915,10.384590100516933,Low,1689
1689MC,63,1980,Rijwoning hoek,C,144.21291371309533,142.25,1156.9471830985915,12.216971310439192,Medium,1689
1624BJ,275,1930,Rijwoning hoek,F,259.9951685094981,268.98,,,High,1624
1624BM,50,1900,Rijwoning tussen,E,208.09762839791287,211.27,,,High,1624
1621GB,24,1910,Appartement,B,108.3547811998513,115.66,,,Medium,1621
1689BE,21,1983,Rijwoning tussen,B,106.34555539190463,106.64,1156.9471830985915,10.237564667716056,Medium,1689
1628NA,10,1987,Appartement,C,105.69865520889196,105.87,,,Medium,1628
1628PE,8,1995,Appartement,A,66.03779368012269,60.77,,,Low,1628
1628PE,7,1995,Appartement,A,64.75017099026887,59.88,,,Low,1628
1628PE,6,1995,Appartement,A,64.75017099026887,60.47,,,Low,1628
1628PE,5,1995,Appartement,A,64.75017099026887,59.88,,,Low,1628
1628PE,411,1995,Appartement,B,95.30956467574723,91.62,,,Low,1628
1628PE,410,1995,Appartement,B,83.06974746111574,81.31,,,Low,1628
1628PE,41,1995,Appartement,A,77.8937143898016,80.22,,,Low,1628
1628PE,409,1995,Appartement,B,82.38461197037958,79.81,,,Low,1628
1628PE,408,1995,Appartement,B,97.48571014912254,93.99,,,Low,1628
1628PE,407,1995,Appartement,A,77.8937143898016,81.44,,,Low,1628
1628PE,406,1995,Appartement,B,83.06974746111574,82.13,,,Low,1628
1628PE,405,1995,Appartement,A,77.8937143898016,81.44,,,Low,1628
1628PE,404,1995,Appartement,B,85.84965270182278,84.05,,,Low,1628
1628PE,403,1995,Appartement,B,85.84965270182278,83.58,,,Low,1628
1628PE,402,1995,Appartement,B,101.07319403261792,96.08,,,Low,1628
1628PE,401,1995,Appartement,A,98.37192782023457,96.81,,,Low,1628
1628PE,40,1995,Appartement,A,65.66784166344247,64.05,,,Low,1628
1628PE,4,1995,Appartement,A,64.75017099026887,60.47,,,Low,1628
1628PE,39,1995,Appartement,A,68.59993695253212,63.44,,,Low,1628
1628PE,38,1995,Appartement,A,70.12310031934253,64.05,,,Low,1628
1628PE,37,1995,Appartement,A,67.11089120157068,62.41,,,Low,1628
1628PE,36,1995,Appartement,A,67.11089120157068,62.49,,,Low,1628
1628PE,35,1995,Appartement,A,67.11089120157068,62.41,,,Low,1628
1628PE,348,1995,Appartement,B,95.52888031563563,90.63,,,Low,1628
1628PE,347,1995,Appartement,B,83.01186055048422,80.32,,,Low,1628
1628PE,346,1995,Appartement,A,77.8937143898016,79.7,,,Low,1628
1628PE,345,1995,Appartement,B,82.38461197037958,78.71,,,Low,1628
1628PE,344,1995,Appartement,B,82.38461197037958,78.62,,,Low,1628
1628PE,343,1995,Appartement,B,82.38461197037958,78.71,,,Low,1628
1628PE,342,1995,Appartement,B,82.38461197037958,78.62,,,Low,1628
1628PE,341,1995,Appartement,B,82.94213320885922,79.14,,,Low,1628
1628PE,340,1995,Appartement,A,54.72560503033061,51.68,,,Low,1628
1628PE,34,1995,Appartement,A,68.06012118231831,62.8,,,Low,1628
1628PE,339,1995,Appartement,A,51.33898317273956,49.91,,,Low,1628
1628PE,338,1995,Appartement,A,51.33898317273956,50.4,,,Low,1628
1628PE,337,1995,Appartement,A,62.515254680377616,62.82,,,Low,1628
1628PE,336,1995,Appartement,A,64.95049757272129,66.44,,,Low,1628
1628PE,335,1995,Appartement,A,54.72560503033061,51.88,,,Low,1628
1628PE,334,1995,Appartement,A,57.26214639763164,52.53,,,Low,1628
1628PE,333,1995,Appartement,A,54.72560503033061,51.88,,,Low,1628
1628PE,332,1995,Appartement,A,58.12623785829242,54.24,,,Low,1628
1628PE,331,1995,Appartement,A,58.12623785829242,53.82,,,Low,1628
1628PE,330,1995,Appartement,A,69.25942787287487,68.46,,,Low,1628
1628PE,33,1995,Appartement,A,71.70457754319115,65.67,,,Low,1628
1628PE,329,1995,Appartement,A,64.9088111829535,61.42,,,Low,1628
1628PE,328,1995,Appartement,A,75.22588812147703,75.09,,,Low,1628
1628PE,327,1995,Appartement,A,83.49972394294701,75.01,,,Low,1628
1628PE,326,1995,Appartement,A,83.49972394294701,75.09,,,Low,1628
1628PE,325,1995,Appartement,A,87.14502080891947,86.36,,,Low,1628
1628PE,324,1995,Appartement,B,104.3359353571556,94.19,,,Low,1628
1628PE,323,1995,Appartement,B,87.52343610022936,82.62,,,Low,1628
1628PE,322,1995,Appartement,A,73.48161149672524,82.92,,,Low,1628
1628PE,321,1995,Appartement,B,87.52343610022936,82.62,,,Low,1628
1628PE,320,1995,Appartement,B,87.52343610022936,82.92,,,Low,1628
1628PE,32,1995,Appartement,B,86.40717394030241,83.43,,,Low,1628
1628PE,319,1995,Appartement,B,87.52343610022936,82.62,,,Low,1628
1628PE,318,1995,Appartement,B,87.52343610022936,82.92,,,Low,1628
1628PE,317,1995,Appartement,B,105.39652460535089,94.08,,,Low,1628
1628PE,316,1995,Appartement,A,91.97201328581546,89.76,,,Low,1628
1628PE,315,1995,Appartement,A,80.87624056412949,77.27,,,Low,1628
1628PE,314,1995,Appartement,B,80.87624056412949,77.87,,,Low,1628
1628PE,313,1995,Appartement,A,80.87624056412949,77.27,,,Low,1628
1628PE,312,1995,Appartement,B,80.87624056412949,77.87,,,Low,1628
1628PE,311,1995,Appartement,A,73.22824914545848,77.27,,,Low,1628
1628PE,310,1995,Appartement,A,73.42956817490682,77.87,,,Low,1628
1628PE,31,1995,Appartement,A,70.12310031934253,65.39,,,Low,1628
1628PE,309,1995,Appartement,A,74.5413659262054,77.72,,,Low,1628
1628PE,308,1995,Appartement,A,74.5413659262054,78.32,,,Low,1628
1628PE,307,1995,Appartement,A,80.87624056412949,77.27,,,Low,1628
1628PE,306,1995,Appartement,B,80.87624056412949,77.87,,,Low,1628
1628PE,305,1995,Appartement,A,80.87624056412949,77.27,,,Low,1628
1628PE,304,1995,Appartement,B,80.87624056412949,77.87,,,Low,1628
1628PE,303,1995,Appartement,A,73.22824914545848,77.27,,,Low,1628
1628PE,302,1995,Appartement,B,80.87624056412949,77.87,,,Low,1628
1628PE,301,1995,Appartement,B,102.0192127356128,87.89,,,Low,1628
1628PE,30,1995,Appartement,A,70.31493116306547,66.12,,,Low,1628
1628PE,3,1995,Appartement,A,64.75017099026887,59.88,,,Low,1628
1628PE,29,1995,Appartement,A,65.66784166344247,65.39,,,Low,1628
1628PE,28,1995,Appartement,A,71.91352396989095,68.34,,,Low,1628
1628PE,27,1995,Appartement,B,83.62726869959538,81.84,,,Low,1628
1628PE,26,1995,Appartement,B,89.9499467253703,77.28,,,Low,1628
1628PE,25,1995,Appartement,A,67.2011960986554,57.95,,,Low,1628
1628PE,248,1995,Appartement,A,64.00430043133909,63.29,,,Low,1628
