Postcode,Huisnummer,Bouwjaar,Gebouwtype,Energieklasse,warmte_predicted,warmte_final,gas_sjv_m3,gas_per_m2,priority,PC4
1689JP,34,1977,Appartement,B,100.32846577448146,100.18,1156.9471830985915,15.165122337116154,Medium,1689
1621LB,16,1938,Rijwoning tussen,C,142.7619727218421,142.48,,,Medium,1621
1622HG,40,1979,Rijwoning tussen,C,120.58832590077728,120.4,,,Medium,1622
1622JT,188,1980,Rijwoning tussen,B,110.49949223444007,110.58,,,Medium,1622
1623MC,30,1953,Vrijstaande woning,F,259.29281492809713,240.16,,,High,1623
1621GM,8,1850,Rijwoning hoek,B,127.31617758352847,124.96,,,Medium,1621
1628XA,142,1997,Rijwoning tussen,A++,81.70386272086064,60.66,,,Low,1628
1624GP,83,2008,Appartement,A,76.35813859451679,78.49,,,Low,1624
1625CL,83,1975,Rijwoning tussen,B,111.56573828208433,110.89,,,Medium,1625
1625AB,27,1973,Rijwoning hoek,D,188.19407739974548,197.41,,,High,1625
1621GG,20,1850,Appartement,C,148.64219253018405,146.75,,,Medium,1621
1623ML,1,2008,Vrijstaande woning,A,106.56376058652488,107.06,,,Low,1623
1621HD,33,1820,Rijwoning tussen,C,136.56117353647818,140.62,,,Medium,1621
1689NP,66,1980,Rijwoning tussen,A,98.07756915842002,104.08,1156.9471830985915,11.230316279349559,Medium,1689
1628DH,122,1983,Rijwoning tussen,A,118.65240263261863,126.38,,,Medium,1628
1689RW,36,1983,Appartement,A,80.50411566494638,87.31,1156.9471830985915,17.160296397190617,Low,1689
1621BJ,12,1910,Rijwoning hoek,G,287.9427077879899,290.67,,,High,1621
1621LE,14,1920,Rijwoning tussen,C,174.90181401066195,180.16,,,High,1621
1689TG,47,1983,Rijwoning tussen,B,105.07763613138388,100.09,1156.9471830985915,11.600793974717652,Medium,1689
1689MG,115,1980,Rijwoning tussen,B,109.07311588378106,109.42,1156.9471830985915,10.832838793057974,Medium,1689
1689ME,106,1980,Rijwoning hoek,C,128.53326760909832,127.22,1156.9471830985915,10.832838793057974,Medium,1689
1689MH,150,1980,Rijwoning tussen,B,107.10044103913988,104.54,1156.9471830985915,10.832838793057974,Medium,1689
1689MH,153,1980,Rijwoning tussen,B,107.10044103913988,104.54,1156.9471830985915,10.832838793057974,Medium,1689
1689MH,154,1980,Rijwoning tussen,B,107.10044103913988,104.54,1156.9471830985915,10.832838793057974,Medium,1689
1689SM,91,2005,Appartement,A,82.57881735695783,82.38,1156.9471830985915,39.62147887323943,Low,1689
1628EN,88,1983,Rijwoning tussen,B,118.96531612046613,120.6,,,Medium,1628
1622HK,117,1979,Rijwoning tussen,B,114.38717211116628,115.65,,,Medium,1622
1689WH,111,2006,Rijwoning tussen,A+,58.11609220049841,55.05,1156.9471830985915,11.671009614633224,Low,1689
1628WC,38,1996,Rijwoning hoek,A,101.48926789747559,112.2,,,Low,1628
1623LJ,15,1925,Rijwoning hoek,C,180.34467376872652,191.72,,,High,1623
1621GL,8,1790,Rijwoning tussen,E,238.8329710943651,230.74,,,High,1621
1689MH,156,1980,Rijwoning hoek,C,135.44521330764326,133.33,1156.9471830985915,14.227092758221737,Medium,1689
1689MG,121,1980,Rijwoning hoek,C,135.44521330764326,133.33,1156.9471830985915,14.227092758221737,Medium,1689
1689ME,111,1980,Rijwoning tussen,B,109.71961526472762,107.67,1156.9471830985915,12.086786283938482,Medium,1689
1689MG,120,1980,Rijwoning tussen,B,110.51378229971085,111.64,1156.9471830985915,10.832838793057974,Medium,1689
1689MH,157,1980,Rijwoning tussen,B,110.51378229971085,111.64,1156.9471830985915,10.832838793057974,Medium,1689
1625CP,54,1975,Rijwoning hoek,C,131.54307719950816,136.29,,,Medium,1625
1621EC,31,1820,Appartement,D,196.23697545008315,198.61,,,High,1621
1623JG,64,1958,Appartement,A,96.16599901076819,94.0,,,Low,1623
1628SV,72,1992,Rijwoning hoek,C,116.55792470800252,108.97,,,Low,1628
1622HA,13,1980,Twee-onder-één-kap,A,134.20639371133743,149.18,,,Medium,1622
1689DG,1,1976,Rijwoning hoek,B,132.37402551913218,148.93,1156.9471830985915,9.346047201701198,Medium,1689
1623RH,6,1915,Rijwoning tussen,A,168.21822333855874,171.11,,,High,1623
1628XK,63,2003,Vrijstaande woning,A,107.75863892619451,109.04,,,Low,1628
1625PH,52,1980,Rijwoning hoek,B,127.65666722314602,131.74,,,Medium,1625
1625ZS,112,1975,Rijwoning hoek,A,117.62101004011704,129.02,,,Medium,1625
1624NC,34,1935,Rijwoning tussen,D,180.38588354710512,181.43,,,High,1624
1628LH,139,1986,Rijwoning tussen,A,97.06812421928676,98.62,,,Low,1628
1621AB,16,1890,Rijwoning tussen,D,203.05982472873146,195.13,,,High,1621
1621GH,11,2021,Appartement,A,106.55095748261485,105.05,,,Low,1621
1689VA,17,1982,Rijwoning hoek,C,130.72845328683357,125.13,1156.9471830985915,9.793018309620717,Medium,1689
1689ME,110,1980,Rijwoning tussen,B,108.27997984500719,108.84,1156.9471830985915,10.832838793057974,Medium,1689
1689MH,160,1980,Rijwoning hoek,C,129.4516711667336,130.18,1156.9471830985915,10.832838793057974,Medium,1689
1689ME,109,1980,Rijwoning tussen,B,104.79721139724447,104.87,1156.9471830985915,10.832838793057974,Medium,1689
1628EV,64,1988,Rijwoning tussen,A,90.95400097095515,98.91,,,Low,1628
1689BA,23,1982,Rijwoning tussen,B,115.23972610850066,117.42,1156.9471830985915,9.103369132886863,Medium,1689
1628DG,114,1983,Rijwoning tussen,A,111.9818679812215,108.07,,,Medium,1628
1628XA,53,1997,Twee-onder-één-kap,B,104.30028180816797,115.62,,,Low,1628
1625NG,115,1930,Rijwoning tussen,B,137.427863495799,145.82,,,Medium,1625
1628KT,10,1989,Rijwoning tussen,A,85.04439550248875,100.23,,,Medium,1628
1628WT,107,1996,Twee-onder-één-kap,A,98.38220839173866,107.14,,,Low,1628
1628XE,93,1998,Rijwoning tussen,A,82.019189224085,93.57,,,Low,1628
1625AP,33,1974,Vrijstaande woning,C,189.95715264353947,199.03,,,High,1625
1621MA,41,2001,Appartement,A,75.74632958302911,72.82,,,Low,1621
1622CA,20,1975,Rijwoning tussen,B,125.6954166760505,134.18,,,Medium,1622
1628RK,31,1991,Twee-onder-één-kap,C,121.36100203793981,117.03,,,Medium,1628
1625HT,71,1977,Rijwoning tussen,B,115.37429249828706,120.49,,,Medium,1625
1621EN,24,1860,Appartement,A,76.38964590678364,74.08,,,Low,1621
1622JL,49,1980,Rijwoning tussen,A,105.37913976318745,103.65,,,Medium,1622
1622BR,39,1984,Appartement,B,106.04643342653137,109.83,,,Medium,1622
1628RW,123,1991,Twee-onder-één-kap,C,120.57630427707419,125.26,,,Medium,1628
1625TG,79,1975,Rijwoning tussen,A,102.12546816763837,104.28,,,Medium,1625
1689HM,7,1974,Rijwoning tussen,C,131.35362769488074,130.38,1156.9471830985915,10.075304215785,Medium,1689
1621AA,204,2000,Appartement,A,89.98242407190017,89.73,,,Low,1621
1628WC,64,1996,Rijwoning hoek,A+,100.73433705584172,99.09,,,Low,1628
1689MR,18,1980,Rijwoning hoek,A++,129.32303870412753,127.25,1156.9471830985915,12.616654123212557,Medium,1689
1689RA,13,1982,Rijwoning tussen,B,111.05761966740992,107.6,1156.9471830985915,11.746849254732375,Medium,1689
1689JR,65,1977,Rijwoning tussen,A+++,97.63814715642037,97.34,1156.9471830985915,11.019594086090024,Low,1689
1623JM,10,1955,Rijwoning tussen,B,136.72058811208012,148.29,,,Medium,1623
1689VB,30,1982,Rijwoning tussen,A,89.2573364103766,92.27,1156.9471830985915,11.490189523275316,Low,1689
1623LK,22,1923,Vrijstaande woning,F,274.6434222002945,286.95,,,High,1623
1628TS,34,1995,Vrijstaande woning,C,125.82324893170956,176.13,,,Low,1628
1689NG,130,1980,Rijwoning tussen,B,119.21749631122574,121.63,1156.9471830985915,11.662774023171284,Medium,1689
1628TM,140,1994,Rijwoning tussen,A,90.19043818662921,93.24,,,Low,1628
1625RV,34,1990,Twee-onder-één-kap,B,108.06306587037224,108.5,,,Medium,1625
1689DH,22,1976,Rijwoning tussen,B,128.42800414019857,129.19,1156.9471830985915,8.436248965280674,Medium,1689
1628VC,30,1995,Vrijstaande woning,A,109.68320182210807,116.78,,,Low,1628
1628AE,90,1983,Rijwoning tussen,A,97.29232796134995,95.23,,,Low,1628
1689TK,18,1982,Rijwoning tussen,B,107.93275396428938,106.85,1156.9471830985915,10.759296783210187,Medium,1689
1625HS,66,1977,Rijwoning tussen,C,131.7239608022514,142.54,,,Medium,1625
1628VN,53,1995,Rijwoning hoek,A,111.18469318323152,104.34,,,Low,1628
1623JD,65,1958,Rijwoning hoek,B,102.82493396937694,102.45,,,Medium,1623
1624BJ,269,1930,Rijwoning tussen,C,175.2017511689917,207.43,,,High,1624
1623JB,43,1900,Rijwoning hoek,C,186.16824366683508,182.72,,,High,1623
1689BA,17,1982,Rijwoning hoek,A,129.5778929369812,133.04,1156.9471830985915,8.263908450704225,Medium,1689
1621JE,85,1998,Appartement,A,81.41755909043799,84.07,,,Low,1621
1625BK,64,1974,Twee-onder-één-kap,C,182.23515652504108,191.58,,,High,1625
1628XB,71,1998,Vrijstaande woning,A,114.79554783219149,111.57,,,Low,1628
1689DG,27,1977,Twee-onder-één-kap,A,115.95261232253486,118.74,1156.9471830985915,8.53268812669512,Medium,1689
1628DE,89,1983,Rijwoning tussen,A,94.15457636960394,108.88,,,Medium,1628
1622DW,337,1973,Appartement,A,86.9524215407109,89.22,,,Low,1622
1689MS,36,1984,Twee-onder-één-kap,C,134.43561162554565,136.54,1156.9471830985915,9.701863170638084,Medium,1689
1628KK,13,1985,Appartement,A,92.88594895235,87.33,,,Low,1628
1622KW,50,1981,Rijwoning tussen,A,98.89548382346085,102.6,,,Medium,1622
1689XH,9,2013,Rijwoning tussen,A,76.58488047887077,72.86,1156.9471830985915,13.829155906031454,Low,1689
1689XH,7,2013,Rijwoning hoek,A,78.0011045765871,73.9,1156.9471830985915,13.829155906031454,Low,1689
1689XH,10,2013,Rijwoning hoek,A,86.99240701836003,82.51,1156.9471830985915,13.829155906031454,Low,1689
1625ND,41,2025,Appartement,A++,51.91075649340343,52.61,,,Low,1625
1625ND,39,2025,Appartement,A++,51.11308009142333,51.84,,,Low,1625
1689PZ,38,2007,Appartement,A,72.02015649030845,75.32,1156.9471830985915,9.809625089864266,Low,1689
1689XH,5,2013,Appartement,A,95.67142802257129,94.44,1156.9471830985915,13.829155906031454,Low,1689
1689PZ,8,2007,Appartement,A,63.89239574438167,63.59,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,4,2007,Appartement,A,63.89239574438167,63.59,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,39,2007,Appartement,A,93.27804973563404,98.87,1156.9471830985915,9.809625089864266,Low,1689
1689PZ,37,2007,Appartement,A,78.761220727496,82.41,1156.9471830985915,9.809625089864266,Low,1689
1689PZ,34,2007,Appartement,A,98.2185460233253,104.97,1156.9471830985915,9.030184070391753,Low,1689
1689PZ,33,2007,Appartement,A,76.27935356029144,80.36,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,32,2007,Appartement,A,63.89239574438167,63.74,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,27,2007,Appartement,A,91.20452357727238,97.1,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,25,2007,Appartement,A,87.4186470702972,91.8,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,23,2007,Appartement,A,63.89239574438167,63.74,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,22,2007,Appartement,A,63.89239574438167,63.74,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,18,2007,Appartement,A,65.37173250224882,66.47,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,14,2007,Appartement,A,63.89239574438167,63.65,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,12,2007,Appartement,A,63.89239574438167,63.74,1156.9471830985915,13.22225352112676,Low,1689
1689PZ,11,2007,Appartement,A,68.48342336721241,78.05,1156.9471830985915,9.030184070391753,Low,1689
1689PZ,10,2007,Appartement,A,92.07907955475203,97.03,1156.9471830985915,10.016858728126333,Low,1689
1624GP,63,2008,Appartement,A,74.0804611804258,78.15,,,Low,1624
1624GP,55,2008,Appartement,A,74.0804611804258,78.03,,,Low,1624
1624GP,51,2008,Appartement,A,77.84454503271688,83.73,,,Low,1624
1624GP,49,2008,Appartement,A,69.60676011240744,72.28,,,Low,1624
1624GP,46,2008,Appartement,A,89.22852764441309,96.72,,,Low,1624
1689LK,47,1979,Rijwoning tussen,B,116.0345792218371,119.17,1156.9471830985915,10.839943625021938,Medium,1689
1689HA,21,1967,Twee-onder-één-kap,A+,153.84477531876158,156.42,1156.9471830985915,7.949341645586035,High,1689
1689WL,73,2006,Rijwoning hoek,A,76.00482835720081,73.47,1156.9471830985915,8.906444827548817,Low,1689
1623LN,2,1930,Vrijstaande woning,G,312.238505018906,310.45,,,High,1623
1625TE,66,1972,Rijwoning tussen,B,122.30170093460664,129.23,,,Medium,1625
1622EH,119,1978,Appartement,B,102.40037910292742,91.02,,,Low,1622
1622EL,162,1978,Appartement,B,103.10678330354645,92.71,,,Low,1622
1689RS,103,1980,Appartement,A,98.17145030927942,108.03,1156.9471830985915,14.227092758221737,Medium,1689
1624HN,25,1968,Appartement,A+,43.23574047659804,41.03,,,Low,1624
1689GL,316,1970,Vrijstaande woning,D,189.66497192884495,188.89,1156.9471830985915,8.962330026327303,High,1689
1622EC,43,1978,Appartement,A,88.38266973753773,94.76,,,Low,1622
1621EG,3,1820,Rijwoning hoek,E,245.5458243489559,237.9,,,High,1621
1623JR,4,1958,Rijwoning tussen,A,85.838378551761,85.27,,,Low,1623
1621JH,50,1880,Appartement,C,181.59279420600782,197.54,,,High,1621
1628EP,111,1983,Rijwoning hoek,B,125.35312420094981,129.07,,,Medium,1628
1689PM,108,1982,Rijwoning tussen,B,111.64060050943192,105.89,1156.9471830985915,11.019594086090024,Medium,1689
1623JE,6,1960,Rijwoning tussen,D,175.28636738871012,189.43,,,High,1623
1623MC,20,1985,Vrijstaande woning,A,126.12498331307255,126.75,,,Medium,1623
1628SK,235,1993,Rijwoning tussen,A,80.47738021967801,86.18,,,Low,1628
1625GN,127,1900,Vrijstaande woning,A,131.310061472259,117.43,,,Medium,1625
1628JC,48,1982,Rijwoning hoek,B,119.47664081876576,103.03,,,Medium,1628
1628WC,50,1995,Vrijstaande woning,A,127.44286308248795,139.67,,,Low,1628
1628CL,10,1985,Rijwoning tussen,B,115.60452648869354,116.2,,,Medium,1628
1628JB,32,1983,Rijwoning hoek,B,129.65544415644771,129.25,,,Medium,1628
1689TL,36,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,31,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,40,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PM,104,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,37,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,41,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,35,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,38,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,39,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,50,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,51,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,52,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,55,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,56,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,60,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,57,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,58,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689TM,59,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1622DG,92,1973,Appartement,A,56.57687429848184,58.03,,,Low,1622
1628XC,132,1998,Rijwoning tussen,A+,76.87845143561925,79.88,,,Low,1628
1628XK,91,1999,Rijwoning tussen,A,87.35306556355106,82.07,,,Low,1628
1621GB,8,1880,Appartement,A,108.77736967923161,124.44,,,Medium,1621
1628ZJ,103,2003,Twee-onder-één-kap,A+,74.90618253108293,78.36,,,Low,1628
1628WJ,74,1996,Rijwoning tussen,A,84.28448308579104,86.48,,,Low,1628
1689MD,83,1980,Rijwoning tussen,C,128.02086812485362,113.77,1156.9471830985915,10.43705171942798,Medium,1689
1621MA,9,2001,Appartement,A,54.69823693666803,50.27,,,Low,1621
1625ZN,77,1976,Rijwoning hoek,A+,133.69316588432923,131.54,,,Medium,1625
1689TM,46,1982,Rijwoning tussen,B,108.78606558630524,109.66,1156.9471830985915,10.839943625021938,Medium,1689
1689TK,14,1982,Rijwoning tussen,B,108.78606558630524,109.66,1156.9471830985915,10.839943625021938,Medium,1689
1689PL,90,1982,Rijwoning hoek,C,136.5928690795509,137.41,1156.9471830985915,11.91132691340051,Medium,1689
1689PK,66,1982,Rijwoning tussen,B,111.07146094414203,111.08,1156.9471830985915,11.91132691340051,Medium,1689
1689TL,21,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PL,85,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,41,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,36,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,40,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,39,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,37,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,38,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PL,86,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PL,87,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PL,88,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1689PL,89,1982,Rijwoning tussen,B,109.30045069382888,108.86,1156.9471830985915,11.91132691340051,Medium,1689
1628VR,112,1996,Rijwoning tussen,A+++,82.48746803249762,94.23,,,Low,1628
1624EG,68,1930,Rijwoning hoek,E,237.05254966311682,236.81,,,High,1624
1689SN,8,1982,Appartement,B,108.33229534607128,106.4,1156.9471830985915,12.017733282420188,Medium,1689
1689HL,76,1975,Rijwoning tussen,A,95.9047694500565,101.05,1156.9471830985915,9.501865827025226,Medium,1689
1622GE,26,1978,Rijwoning tussen,A,97.22385639029868,102.83,,,Medium,1622
1628CN,55,1985,Twee-onder-één-kap,B,117.98464305938833,124.85,,,Medium,1628
1625RJ,86,1988,Twee-onder-één-kap,B,131.02517861139998,139.9,,,Medium,1625
1689GR,34,1967,Rijwoning hoek,C,149.67286339586602,149.22,1156.9471830985915,10.099050131796364,Medium,1689
1622HR,212,1979,Rijwoning hoek,C,145.50718805644917,148.97,,,Medium,1622
1628TK,101,1995,Vrijstaande woning,B,120.18102199717583,117.19,,,Low,1628
1689MC,44,1980,Rijwoning tussen,A+++,131.8026016950332,132.33,1156.9471830985915,12.518363807602158,Medium,1689
1628BK,65,1982,Vrijstaande woning,A,101.45985405190235,109.63,,,Medium,1628
1622JR,142,1980,Rijwoning hoek,B,112.34097031250782,111.7,,,Medium,1622
1689CJ,41,1967,Vrijstaande woning,D,198.47380381821745,209.04,1156.9471830985915,9.952233833106163,High,1689
1622DJ,140,2016,Appartement,A,82.24716662194857,86.33,,,Low,1622
1622DR,257,2016,Appartement,A,82.24716662194857,86.33,,,Low,1622
1622DJ,139,2016,Appartement,A,73.82555381855224,73.54,,,Low,1622
1622DR,256,2016,Appartement,A,73.82555381855224,73.54,,,Low,1622
1622DJ,138,2016,Appartement,A,69.059537042724,70.81,,,Low,1622
1622DR,255,2016,Appartement,A,69.059537042724,70.81,,,Low,1622
1622DB,25,2016,Appartement,A,79.04919902308748,82.93,,,Low,1622
1622DB,24,2016,Appartement,A,73.31345627502303,74.6,,,Low,1622
1622DJ,137,2016,Appartement,A,60.23846903648511,62.71,,,Low,1622
1622DB,23,2016,Appartement,A,60.23846903648511,62.71,,,Low,1622
1622DR,253,2016,Appartement,A,60.23846903648511,62.71,,,Low,1622
1622DR,254,2016,Appartement,A,60.23846903648511,62.71,,,Low,1622
1622DJ,136,2016,Appartement,A,64.16050028427289,64.97,,,Low,1622
1622DB,22,2016,Appartement,A,64.16050028427289,64.97,,,Low,1622
1622DR,252,2016,Appartement,A,64.16050028427289,64.97,,,Low,1622
1622DJ,135,2016,Appartement,A,78.30257379667268,76.72,,,Low,1622
1622DB,21,2016,Appartement,A,78.30257379667268,76.72,,,Low,1622
1622DR,251,2016,Appartement,A,78.30257379667268,76.72,,,Low,1622
1628DA,2,1983,Rijwoning tussen,B,112.9490648111854,114.22,,,Medium,1628
1689DE,6,1976,Rijwoning hoek,C,154.46891887143093,151.34,1156.9471830985915,9.853067476567803,High,1689
1689TR,10,1982,Rijwoning tussen,B,108.3528090950867,108.09,1156.9471830985915,10.093763593601391,Medium,1689
1628EX,104,1944,Rijwoning tussen,C,123.29890041761641,114.59,,,Medium,1628
1689JK,179,1979,Rijwoning hoek,C,147.27409956988893,153.38,1156.9471830985915,9.633198860104843,High,1689
1689LC,62,1979,Rijwoning tussen,A,103.94381346850557,114.84,1156.9471830985915,9.193064625336445,Medium,1689
1625AN,18,1974,Vrijstaande woning,C,145.53642744620697,144.68,,,Medium,1625
1628BK,67,1982,Rijwoning tussen,B,108.8470881983582,115.62,,,Medium,1628
1689DS,4,2025,Rijwoning tussen,A++++,46.82564501261281,46.59,1156.9471830985915,9.780600076917672,Low,1689
1689DS,7,2025,Rijwoning hoek,A+++,55.69157149887037,61.0,1156.9471830985915,9.72551431656516,Low,1689
1689DS,6,2025,Rijwoning tussen,A++++,50.31769333628313,50.77,1156.9471830985915,9.72551431656516,Low,1689
1689DS,5,2025,Rijwoning tussen,A++++,50.31769333628313,50.77,1156.9471830985915,9.72551431656516,Low,1689
1689DS,3,2025,Rijwoning tussen,A++++,45.90870425912448,46.1,1156.9471830985915,9.780600076917672,Low,1689
1689DS,2,2025,Rijwoning tussen,A++++,46.82564501261281,46.59,1156.9471830985915,9.780600076917672,Low,1689
1689DS,1,2025,Rijwoning hoek,A+++,55.69157149887037,61.68,1156.9471830985915,9.72551431656516,Low,1689
1625CS,79,1975,Rijwoning tussen,A,94.36560495606926,96.66,,,Low,1625
1689DS,9,2022,Rijwoning tussen,A+++,48.53256491678429,55.66,1156.9471830985915,11.170678604794743,Low,1689
1689DS,8,2022,Rijwoning hoek,A+++,60.24780960397742,63.69,1156.9471830985915,11.170678604794743,Low,1689
1689DS,11,2022,Rijwoning hoek,A+++,60.24780960397742,63.48,1156.9471830985915,11.170678604794743,Low,1689
1689DS,10,2022,Rijwoning tussen,A+++,48.53256491678429,55.67,1156.9471830985915,11.170678604794743,Low,1689
1625DH,111,1976,Rijwoning tussen,A,105.56794177558776,108.04,,,Medium,1625
1621KP,21,1810,Rijwoning hoek,G,368.86456386121745,375.92,,,High,1621
1621KP,23,1810,Rijwoning tussen,G,335.9985558388502,348.62,,,High,1621
1621KP,25,1810,Rijwoning tussen,F,250.5902573997445,251.39,,,High,1621
1628ZL,16,2002,Rijwoning tussen,A,63.511895405938354,59.6,,,Low,1628
1625CA,8,1975,Rijwoning tussen,B,120.53929080636651,127.49,,,Medium,1625
1628EE,110,1983,Rijwoning tussen,B,105.52936535351992,106.62,,,Medium,1628
1621GA,2,1920,Appartement,F,215.95586006723153,246.94,,,High,1621
1621EE,40,1947,Appartement,E,214.83077050620605,245.69,,,High,1621
1621EE,38,1947,Appartement,C,130.11591238011223,130.54,,,Medium,1621
1628VG,110,1994,Rijwoning tussen,A+,71.98973878994005,61.05,,,Low,1628
1628WB,15,1995,Rijwoning tussen,A,75.69131920921643,86.92,,,Low,1628
1628BM,104,1982,Rijwoning tussen,B,111.83103112512825,119.27,,,Medium,1628
1623RM,210,1920,Rijwoning tussen,D,197.37904762916475,198.72,,,High,1623
1689MS,30,1980,Rijwoning hoek,B,122.94490622525183,129.8,1156.9471830985915,11.769554253291878,Medium,1689
1628WN,2,1996,Rijwoning tussen,A,83.52703793875641,83.93,,,Low,1628
1628MN,28,1989,Rijwoning hoek,B,122.2531892089967,120.61,,,Medium,1628
1625PP,150,1980,Appartement,B,112.51667086773406,109.58,,,Medium,1625
1689WE,204,2008,Rijwoning hoek,A+,64.32559958385332,61.36,1156.9471830985915,6.976285474545294,Low,1689
1624GP,118,2008,Appartement,A,85.20193300362048,88.79,,,Low,1624
1625RN,29,1989,Twee-onder-één-kap,B,127.93793647632536,118.98,,,Medium,1625
1628XM,85,2000,Rijwoning tussen,A,83.08857319281465,80.43,,,Low,1628
1621AG,63,1890,Rijwoning hoek,E,235.55225934863415,232.4,,,High,1621
1622GV,133,1978,Rijwoning tussen,B,110.64554448054558,110.91,,,Medium,1622
1622KR,28,1981,Rijwoning tussen,A,103.32001126051122,104.82,,,Medium,1622
1623MD,6,1970,Vrijstaande woning,B,114.46790287066041,111.17,,,Medium,1623
1689SP,27,1982,Appartement,A,100.20326685990386,99.77,1156.9471830985915,11.209642312746745,Low,1689
1689TP,100,1982,Appartement,A,100.20326685990386,99.77,1156.9471830985915,11.209642312746745,Low,1689
1622BB,26,1972,Rijwoning tussen,B,129.83644256294355,91.9,,,Low,1622
1689TL,29,1982,Rijwoning hoek,C,139.3147672252608,138.26,1156.9471830985915,11.91132691340051,Medium,1689
1689PH,42,1982,Rijwoning hoek,C,139.3147672252608,138.26,1156.9471830985915,11.91132691340051,Medium,1689
1689PK,73,1982,Rijwoning hoek,C,130.69074866528462,129.18,1156.9471830985915,10.839943625021938,Medium,1689
1689PK,72,1982,Rijwoning tussen,B,107.77835259176788,108.02,1156.9471830985915,10.839943625021938,Medium,1689
1689PK,69,1982,Rijwoning tussen,B,107.77835259176788,108.02,1156.9471830985915,10.839943625021938,Medium,1689
1689PK,71,1982,Rijwoning tussen,B,107.77835259176788,108.02,1156.9471830985915,10.839943625021938,Medium,1689
1689PK,70,1982,Rijwoning tussen,B,105.0324926133111,102.55,1156.9471830985915,10.839943625021938,Medium,1689
1689TK,11,1982,Rijwoning hoek,C,130.69074866528462,129.38,1156.9471830985915,10.839943625021938,Medium,1689
1689PM,110,1982,Rijwoning tussen,B,108.78606558630524,108.81,1156.9471830985915,10.839943625021938,Medium,1689
